,RouteNumber,Source,Target,SourceLong,SourceLat,TargetLong,TargetLat,TotalStations
243,108,Balak Ram Hospital,Khalsa College,77.223186,28.705078999999998,77.187,28.653,11.0
244,108,Khalsa College,Shakti Nagar Nangia Park,77.187,28.653000000000002,77.196,28.68,
245,108,Shakti Nagar Nangia Park,Gulabi Bagh,77.196,28.68,77.1887087627,28.6751539029,
246,108,Gulabi Bagh,Shastri Nagar E-Block,77.1887087627,28.6751539029,77.177,28.67,
247,108,Shastri Nagar E-Block,Zakhira,77.17699999999999,28.67,77.165,28.668,
248,108,Zakhira,Moti Nagar,77.165,28.668000000000003,77.144,28.658,
249,108,Moti Nagar,Police Station Kirti Nagar,77.14399999999999,28.658,77.142,28.648,
250,108,Police Station Kirti Nagar,Maya Puri Depot,77.142,28.648000000000003,77.128,28.636,
251,108,Maya Puri Depot,Beri Wala Bagh,77.128,28.636,77.1121587,28.6311506,
252,108,Beri Wala Bagh,Hari Nagar Clock Tower,77.11215870000001,28.631150599999998,77.1101897103,28.6250047386,
253,108,Hari Nagar Clock Tower,Nehru Vihar,77.11018971029999,28.6250047386,77.222,28.711,
254,108,Nehru Vihar,Nehru Vihar Xing,77.222,28.711,77.226,28.708,43.0
255,108,Nehru Vihar Xing,Police Station Timarpur,77.226,28.708000000000002,77.224,28.707,
256,108,Police Station Timarpur,Balak Ram Hospital,77.22399999999999,28.706999999999997,77.223186,28.705079,
257,108,Balak Ram Hospital,Timar Pur,77.223186,28.705078999999998,77.22,28.698,
258,108,Timar Pur,Timarpur BD Estate,77.22,28.698,77.22,28.697,
259,108,Timarpur BD Estate,Mall Road,77.22,28.697,77.218,28.693,
260,108,Mall Road,Vishwa Vidyalaya Metro Station,77.218,28.693,77.214,28.695,
261,108,Vishwa Vidyalaya Metro Station,I.N.S. Hostel,77.214,28.695,77.212,28.696,
262,108,I.N.S. Hostel,Khalsa College,77.212,28.695999999999998,77.187,28.653,
263,108,Khalsa College,Patel Chest,77.187,28.653000000000002,77.208,28.691,
264,108,Patel Chest,Sri Ram College,77.208,28.691,77.206,28.688,
265,108,Sri Ram College,Maurice Nagar,77.206,28.688000000000002,77.205,28.686,
266,108,Maurice Nagar,Kamla Nagar/ Roop Nagar,77.205,28.686,77.202,28.684,
267,108,Kamla Nagar/ Roop Nagar,Shakti Nagar Nangia Park,77.202,28.684,77.196,28.68,
268,108,Shakti Nagar Nangia Park,Chowki No 2 / Gulabi Bagh Crossing,77.196,28.68,77.188,28.677,
269,108,Chowki No 2 / Gulabi Bagh Crossing,Gulabi Bagh,77.188,28.677,77.1887087627,28.6751539029,
270,108,Gulabi Bagh,Shastri Nagar A Block,77.1887087627,28.6751539029,77.186,28.672,
271,108,Shastri Nagar A Block,Subhadra Colony,77.186,28.671999999999997,77.184,28.671,
272,108,Subhadra Colony,Shastri Nagar Metro Station,77.184,28.671,77.18,28.669,
273,108,Shastri Nagar Metro Station,Shastri Nagar E-Block,77.18,28.669,77.177,28.67,
274,108,Shastri Nagar E-Block,Shastri Nagar Shiv Mandir,77.17699999999999,28.67,77.173,28.671,
275,108,Shastri Nagar Shiv Mandir,Inder Lok Metro Station,77.173,28.671,77.169,28.672,
276,108,Inder Lok Metro Station,Inderlok,77.169,28.671999999999997,77.166,28.67,
277,108,Inderlok,Zakhira,77.166,28.67,77.165,28.668,
278,108,Zakhira,DCM Chemical,77.165,28.668000000000003,77.159,28.665,
279,108,DCM Chemical,S.B.Mills,77.15899999999999,28.665,77.154,28.663,
280,108,S.B.Mills,Campa Cola,77.154,28.663,77.151,28.661,
281,108,Campa Cola,ESI Dispensary,77.15100000000001,28.660999999999998,77.148,28.66,
282,108,ESI Dispensary,Moti Nagar,77.148,28.66,77.144,28.658,
283,108,Moti Nagar,Kirti Nagar,77.14399999999999,28.658,77.137,28.655,
284,108,Kirti Nagar,F Block Kirti Nagar,77.137,28.655,77.143,28.648,
285,108,F Block Kirti Nagar,Police Station Kirti Nagar,77.143,28.648000000000003,77.142,28.648,
286,108,Police Station Kirti Nagar,Lakkad Mandi (Mansarovar Garden),77.142,28.648000000000003,77.131,28.637,
287,108,Lakkad Mandi (Mansarovar Garden),Maya Puri Depot,77.131,28.636999999999997,77.128,28.636,
288,108,Maya Puri Depot,Government Press Mayapuri,77.128,28.636,77.124806,28.6340047,
289,108,Government Press Mayapuri,Metal Forging,77.124806,28.634004700000002,77.123,28.629,
290,108,Metal Forging,DDA Flats Hari Nagar,77.123,28.629,77.119,28.63,
291,108,DDA Flats Hari Nagar,Swarg Ashram,77.119,28.63,77.114,28.63,
292,108,Swarg Ashram,Beri Wala Bagh,77.11399999999999,28.63,77.1121587,28.6311506,
293,108,Beri Wala Bagh,Beri Wala Bagh,77.11215870000001,28.631150599999998,77.1121587,28.6311506,
294,108,Beri Wala Bagh,DDU Hospital,77.11215870000001,28.631150599999998,77.111,28.628,
295,108,DDU Hospital,Hari Nagar Clock Tower,77.111,28.628,77.1101897103,28.6250047386,
296,108CLUSTER,Nehru Vihar,Nehru Vihar Xing,77.222,28.711,77.226,28.708,43.0
297,108CLUSTER,Nehru Vihar Xing,Police Station Timarpur,77.226,28.708000000000002,77.224,28.707,
298,108CLUSTER,Police Station Timarpur,Balak Ram Hospital,77.22399999999999,28.706999999999997,77.223186,28.705079,
299,108CLUSTER,Balak Ram Hospital,Timar Pur,77.223186,28.705078999999998,77.22,28.698,
300,108CLUSTER,Timar Pur,Timarpur BD Estate,77.22,28.698,77.22,28.697,
301,108CLUSTER,Timarpur BD Estate,Mall Road,77.22,28.697,77.218,28.693,
302,108CLUSTER,Mall Road,Vishwa Vidyalaya Metro Station,77.218,28.693,77.214,28.695,
303,108CLUSTER,Vishwa Vidyalaya Metro Station,I.N.S. Hostel,77.214,28.695,77.212,28.696,
304,108CLUSTER,I.N.S. Hostel,Khalsa College,77.212,28.695999999999998,77.187,28.653,
305,108CLUSTER,Khalsa College,Patel Chest,77.187,28.653000000000002,77.208,28.691,
