,RouteNumber,Source,Target,SourceLong,SourceLat,TargetLong,TargetLat,TotalStations
10,100A,Kendriya Terminal,R.M.L. Hospital,77.203,28.616999999999997,77.198,28.624,14.0
11,100A,R.M.L. Hospital,Regal,77.19800000000001,28.624000000000002,77.217,28.63,
12,100A,Regal,Chitra Gupta Road,77.217,28.63,77.208537,28.641385,
13,100A,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.20853699999999,28.641384999999996,77.198,28.652,
14,100A,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.19800000000001,28.651999999999997,77.209181,28.666948,
15,100A,Ice Factory,Malka Ganj,77.209181,28.666947999999998,77.201,28.677,
16,100A,Malka Ganj,Maurice Nagar,77.20100000000001,28.677,77.205,28.686,
17,100A,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.2060021632,28.698215324,
18,100A,G.T.B. Nagar,Model Town II,77.2060021632,28.698215324,77.19,28.704,
19,100A,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.7157508187,
20,100A,Adarsh Nagar,G.T.K. Depot,77.170962,28.7157508187,77.1583198811,28.731536134,
21,100A,G.T.K. Depot,Sameypur,77.1583198811,28.731536134000002,77.146,28.742,
22,100A,Sameypur,Badli Railway Station,77.146,28.741999999999997,77.1372381847,28.7453477905,
23,100EXTN,Kendriya Terminal,R.M.L. Hospital,77.203,28.616999999999997,77.198,28.624,13.0
24,100EXTN,R.M.L. Hospital,Regal,77.19800000000001,28.624000000000002,77.217,28.63,
25,100EXTN,Regal,Chitra Gupta Road,77.217,28.63,77.208537,28.641385,
26,100EXTN,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.20853699999999,28.641384999999996,77.198,28.652,
27,100EXTN,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.19800000000001,28.651999999999997,77.209181,28.666948,
28,100EXTN,Ice Factory,Malka Ganj,77.209181,28.666947999999998,77.201,28.677,
29,100EXTN,Malka Ganj,Maurice Nagar,77.20100000000001,28.677,77.205,28.686,
30,100EXTN,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.2060021632,28.698215324,
31,100EXTN,G.T.B. Nagar,Model Town II,77.2060021632,28.698215324,77.19,28.704,
32,100EXTN,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.7157508187,
33,100EXTN,Adarsh Nagar,G.T.K. Depot,77.170962,28.7157508187,77.1583198811,28.731536134,
34,100EXTN,G.T.K. Depot,Sameypur,77.1583198811,28.731536134000002,77.146,28.742,
49,101BCLUSTER,Old Delhi Railway Station,Kauria Bridge,77.22399999999999,28.66,77.234,28.66,35.0
50,101BCLUSTER,Kauria Bridge,GPO,77.234,28.66,77.234,28.661,
51,101BCLUSTER,GPO,Guru Gobind Singh Indraprastha University (Kashmere Gate),77.234,28.660999999999998,77.234,28.664,
52,101BCLUSTER,Guru Gobind Singh Indraprastha University (Kashmere Gate),ISBT / Kashmiri Gate,77.234,28.664,77.229,28.666,
53,101BCLUSTER,ISBT / Kashmiri Gate,ISBT Kashmere Gate (Nityanand Marg),77.229,28.666,77.225,28.668,
54,101BCLUSTER,ISBT Kashmere Gate (Nityanand Marg),Ludlow Castle,77.225,28.668000000000003,77.225,28.672,
55,101BCLUSTER,Ludlow Castle,Exchange Store,77.225,28.671999999999997,77.224,28.676,
56,101BCLUSTER,Exchange Store,Civil Line Metro Station,77.22399999999999,28.676,77.224,28.678,
57,101BCLUSTER,Civil Line Metro Station,I P College,77.22399999999999,28.678,77.223,28.68,
58,101BCLUSTER,I P College,Old Secretariat,77.223,28.68,77.222,28.683,
59,101BCLUSTER,Old Secretariat,Vidhan Sabha Metro Station,77.222,28.683000000000003,77.221,28.687,
