,RouteNumber,Source,Target,SourceLong,SourceLat,TargetLong,TargetLat,TotalStations
49,101BCLUSTER,Old Delhi Railway Station,Kauria Bridge,77.22399999999999,28.66,77.234,28.66,35.0
50,101BCLUSTER,Kauria Bridge,GPO,77.234,28.66,77.234,28.661,
51,101BCLUSTER,GPO,Guru Gobind Singh Indraprastha University (Kashmere Gate),77.234,28.660999999999998,77.234,28.664,
52,101BCLUSTER,Guru Gobind Singh Indraprastha University (Kashmere Gate),ISBT / Kashmiri Gate,77.234,28.664,77.229,28.666,
53,101BCLUSTER,ISBT / Kashmiri Gate,ISBT Kashmere Gate (Nityanand Marg),77.229,28.666,77.225,28.668,
54,101BCLUSTER,ISBT Kashmere Gate (Nityanand Marg),Ludlow Castle,77.225,28.668000000000003,77.225,28.672,
55,101BCLUSTER,Ludlow Castle,Exchange Store,77.225,28.671999999999997,77.224,28.676,
56,101BCLUSTER,Exchange Store,Civil Line Metro Station,77.22399999999999,28.676,77.224,28.678,
57,101BCLUSTER,Civil Line Metro Station,I P College,77.22399999999999,28.678,77.223,28.68,
58,101BCLUSTER,I P College,Old Secretariat,77.223,28.68,77.222,28.683,
59,101BCLUSTER,Old Secretariat,Vidhan Sabha Metro Station,77.222,28.683000000000003,77.221,28.687,
60,101BCLUSTER,Vidhan Sabha Metro Station,Khyber Pass,77.221,28.686999999999998,77.221,28.69,
61,101BCLUSTER,Khyber Pass,Mall Road,77.221,28.69,77.218,28.693,
62,101BCLUSTER,Mall Road,Vishwa Vidyalaya Metro Station,77.218,28.693,77.214,28.695,
63,101BCLUSTER,Vishwa Vidyalaya Metro Station,I.N.S. Hostel,77.214,28.695,77.212,28.696,
64,101BCLUSTER,I.N.S. Hostel,G.T.B. Nagar,77.212,28.695999999999998,77.2060021632,28.698215324,
65,101BCLUSTER,G.T.B. Nagar,New Police Lines,77.2060021632,28.698215324,77.203,28.699,
66,101BCLUSTER,New Police Lines,Alpna Cinema,77.203,28.699,77.1939532553,28.7026226127,
67,101BCLUSTER,Alpna Cinema,Model Town II,77.1939532553,28.7026226127,77.19,28.704,
68,101BCLUSTER,Model Town II,Model Town III,77.19,28.704,77.185,28.706,
69,101BCLUSTER,Model Town III,Azadpur Metro station,77.185,28.706,77.18,28.707,
70,101BCLUSTER,Azadpur Metro station,Azadpur Terminal,77.18,28.706999999999997,77.177743,28.708115,
71,101BCLUSTER,Azadpur Terminal,New Sabzi Mandi,77.177743,28.708115000000003,77.172,28.714,
72,101BCLUSTER,New Sabzi Mandi,Adarsh Nagar / Bharola Village,77.172,28.714000000000002,77.17,28.715,
73,101BCLUSTER,Adarsh Nagar / Bharola Village,Sarai Peepal Thala,77.17,28.715,77.166,28.72,
74,101BCLUSTER,Sarai Peepal Thala,Mahindra Park (Pitampura),77.166,28.72,77.1656016998,28.7218727914,
75,101BCLUSTER,Mahindra Park (Pitampura),Jahangirpuri GT Road,77.16560169979999,28.7218727914,77.162,28.725,
76,101BCLUSTER,Jahangirpuri GT Road,Jahangir Puri Metro Station,77.16199999999999,28.725,77.161,28.727,
77,101BCLUSTER,Jahangir Puri Metro Station,G.T.K. Depot,77.161,28.726999999999997,77.1583198811,28.731536134,
78,101BCLUSTER,G.T.K. Depot,Mukraba Chowk,77.1583198811,28.731536134000002,77.152,28.732,
79,101BCLUSTER,Mukraba Chowk,Sanjay Gandhi Transport Nagar,77.152,28.732,77.154,28.738,
80,101BCLUSTER,Sanjay Gandhi Transport Nagar,Libas Pur G.T. Road,77.154,28.738000000000003,77.15,28.751,
81,101BCLUSTER,Libas Pur G.T. Road,Swaroop Nagar JJ Colony GT Road,77.15,28.750999999999998,77.15,28.751,
82,101BCLUSTER,Swaroop Nagar JJ Colony GT Road,Swaroop Nagar JJ Colony,77.15,28.750999999999998,77.162,28.755,
83,101EXTNCLUSTER,Old Delhi Railway Station,Kauria Bridge,77.22399999999999,28.66,77.234,28.66,34.0
84,101EXTNCLUSTER,Kauria Bridge,GPO,77.234,28.66,77.234,28.661,
