Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
Dwarka Sec1,,,0.333333,15,0.134461,0.145284,3261.57934,1,2,3,0,16
Mahalaxmi Apartment Sec-2,,,0.333333,16,0.120178,0.128487,3406.567209,2,1,3,0,16
SFS Flats Sec-2 Power House,,,0,17,0.107403,0.113572,1566.133875,1,1,2,0,16
New Dwarka Road / Seetapuri,,,0,16,0.113838,0.121539,1667.748892,1,2,3,0,16
Dabri Xing,,,0.166667,15,0.128267,0.138581,5023.721451,2,2,4,0,16
Vikas Puri Xing,,,0,13,0.154781,0.168817,396.706546,1,1,2,0,16
District Centre Najafgarh Road,,,0,13,0.168341,0.187009,10524.643581,2,3,5,0,16
District Centre Outer Ring Road,,,0,14,0.144287,0.15594,3180.661018,2,2,4,0,16
Kangra Niketan,,,0,15,0.126427,0.13473,1034.275376,2,2,4,0,16
Krishna Park,,,0,16,0.119124,0.126499,430.949442,2,3,5,0,16
Manohar Nagar,,,0,15,0.129203,0.137289,1147.535708,2,2,4,0,16
CRPF Camp Vikaspuri,,,0.166667,14,0.148089,0.159933,4720.85398,3,3,6,0,16
Keshopur Depot,,,0,14,0.147842,0.158616,1387.626928,2,2,4,0,7
Meera Bagh Apartment,,,0,15,0.132093,0.140039,1,2,2,4,0,7
Meera Bagh,,,0,15,0.138218,0.148157,470.373072,2,2,4,0,7
Sunder Apartment,,,1,15,0.150595,0.16214,0,1,1,2,0,7
Peera Garhi Chowk,,,0.2,14,0.176756,0.194968,14282.300065,4,3,7,0,7
Nangli Sakrawati Crossing,,,0,14,0.139514,0.149075,110.039037,1,1,2,0,18
Kakrola Xing,,,1,16,0.127145,0.135116,0,1,1,2,0,16
Dwarka Sec 3/4,,,0,16,0.126556,0.135056,560.470624,1,1,2,0,16
Raja Puri,,,0,15,0.129743,0.138712,177.959343,1,1,2,0,16
Dwarka Sec 1 Road No. 201,,,1,13,0.150632,0.162097,0,1,1,2,0,12
IOL,,,0,13,0.146931,0.157693,469.062801,1,1,2,0,18
