name,,,long,lat,,,
106,Fatehpuri,Mori Gate,77.223935,28.660643,77.221,28.666,22
106,Mori Gate,Ice Factory,77.221,28.666,77.209181,28.666948,
106,Ice Factory,Kamla Nagar Clock Tower,77.209181,28.666948,77.20151,28.677784,
106,Kamla Nagar Clock Tower,R.P. Bagh,77.20151,28.677784,77.193,28.688,
106,R.P. Bagh,Bara Bagh,77.193,28.688,77.183079,28.701728,
106,Bara Bagh,Adarsh Nagar,77.183079,28.701728,77.170962,28.71575082,
106,Adarsh Nagar,G.T.K. Depot,77.170962,28.71575082,77.15831988,28.73153613,
106,G.T.K. Depot,Haider Pur Water Works,77.15831988,28.73153613,77.14070667,28.72126435,
106,Haider Pur Water Works,ESI Hospital Rohini,77.14070667,28.72126435,77.126769,28.726496,
106,ESI Hospital Rohini,Rohini Sector 16,77.126769,28.726496,77.128,28.736,
106,Rohini Sector 16,Shahbad Daulat Pur,77.128,28.736,77.111,28.745,
106,Shahbad Daulat Pur,Prahladpur,77.111,28.745,77.294,28.5,
106,Prahladpur,Barwala,77.294,28.5,77.060833,28.7590708,
106,Barwala,Pooth Khurd,77.060833,28.7590708,77.048,28.772,
106,Pooth Khurd,Dhake Wala,77.048,28.772,77.0402832,28.78733253,
106,Dhake Wala,Bawana,77.0402832,28.78733253,77.03917685,28.80194897,
106,Bawana,Harewali Village,77.03917685,28.80194897,77.00781682,28.83182484,
106,Harewali Village,Auchandi Border,77.00781682,28.83182484,76.9952309,28.8213842,
106,Auchandi Border,Mungesh Pur,76.9952309,28.8213842,76.97348407,28.81720901,
106,Mungesh Pur,Qutubgarh Border,76.97348407,28.81720901,76.9624593,28.8036692,
106,Qutubgarh Border,Qutubgarh Border,76.9624593,28.8036692,76.9624593,28.8036692,
